group,item,sentence,question,left_answer,right_answer,correct_answer,structure,verb,indirect_object_animacy,verb_type
A,87,That's the new desk that the landlord walking into the office tossed some keys when he got to work late.,When did the landlord get to work?,late,on time,late,double_object,send,inanimate,dative
B,87,That's the new tenant that the landlord walking into the office tossed some keys when he got to work late.,When did the landlord get to work?,late,on time,late,double_object,send,animate,dative
C,87,That's the new desk that the landlord walking into the office traded some keys when he got to work late.,When did the landlord get to work?,late,on time,late,double_object,give,inanimate,dative
D,87,That's the new tenant that the landlord walking into the office traded some keys when he got to work late.,When did the landlord get to work?,late,on time,late,double_object,give,animate,dative
E,87,That's the new desk that the landlord walking into the office tossed some keys to when he got to work late.,When did the landlord get to work?,late,on time,late,prepositional_dative,send,inanimate,dative
F,87,That's the new tenant that the landlord walking into the office tossed some keys to when he got to work late.,When did the landlord get to work?,late,on time,late,prepositional_dative,send,animate,dative
G,87,That's the new desk that the landlord walking into the office traded some keys to when he got to work late.,When did the landlord get to work?,late,on time,late,prepositional_dative,give,inanimate,dative
H,87,That's the new tenant that the landlord walking into the office traded some keys to when he got to work late.,When did the landlord get to work?,late,on time,late,prepositional_dative,give,animate,dative
I,87,That's the new desk where the landlord walking into the office tossed some keys when he got to work late.,When did the landlord get to work?,late,on time,late,where,send,inanimate,dative
J,87,That's the new tenant where the landlord walking into the office tossed some keys when he got to work late.,When did the landlord get to work?,late,on time,late,where,send,animate,dative
K,87,That's the new desk where the landlord walking into the office traded some keys when he got to work late.,When did the landlord get to work?,late,on time,late,where,give,inanimate,dative
L,87,That's the new tenant where the landlord walking into the office traded some keys when he got to work late.,When did the landlord get to work?,late,on time,late,where,give,animate,dative
M,87,That's the new desk that the landlord walking into the office tossed some keys when he got to work late.,When did the landlord get to work?,on time,late,late,double_object,send,inanimate,dative
N,87,That's the new tenant that the landlord walking into the office tossed some keys when he got to work late.,When did the landlord get to work?,on time,late,late,double_object,send,animate,dative
O,87,That's the new desk that the landlord walking into the office traded some keys when he got to work late.,When did the landlord get to work?,on time,late,late,double_object,give,inanimate,dative
P,87,That's the new tenant that the landlord walking into the office traded some keys when he got to work late.,When did the landlord get to work?,on time,late,late,double_object,give,animate,dative
Q,87,That's the new desk that the landlord walking into the office tossed some keys to when he got to work late.,When did the landlord get to work?,on time,late,late,prepositional_dative,send,inanimate,dative
R,87,That's the new tenant that the landlord walking into the office tossed some keys to when he got to work late.,When did the landlord get to work?,on time,late,late,prepositional_dative,send,animate,dative
S,87,That's the new desk that the landlord walking into the office traded some keys to when he got to work late.,When did the landlord get to work?,on time,late,late,prepositional_dative,give,inanimate,dative
T,87,That's the new tenant that the landlord walking into the office traded some keys to when he got to work late.,When did the landlord get to work?,on time,late,late,prepositional_dative,give,animate,dative
U,87,That's the new desk where the landlord walking into the office tossed some keys when he got to work late.,When did the landlord get to work?,on time,late,late,where,send,inanimate,dative
V,87,That's the new tenant where the landlord walking into the office tossed some keys when he got to work late.,When did the landlord get to work?,on time,late,late,where,send,animate,dative
W,87,That's the new desk where the landlord walking into the office traded some keys when he got to work late.,When did the landlord get to work?,on time,late,late,where,give,inanimate,dative
X,87,That's the new tenant where the landlord walking into the office traded some keys when he got to work late.,When did the landlord get to work?,on time,late,late,where,give,animate,dative
A,88,That's the informant that the spy from the foreign nation traded a secret package to before he could be caught.,Where was the spy from?,a secret organization,a foreign nation,a foreign nation,prepositional_dative,give,animate,dative
B,88,That's the park bench that the spy from the foreign nation traded a secret package to before he could be caught.,Where was the spy from?,a secret organization,a foreign nation,a foreign nation,prepositional_dative,give,inanimate,dative
C,88,That's the informant that the spy from the foreign nation tossed a secret package to before he could be caught.,Where was the spy from?,a secret organization,a foreign nation,a foreign nation,prepositional_dative,send,animate,dative
D,88,That's the park bench that the spy from the foreign nation tossed a secret package to before he could be caught.,Where was the spy from?,a secret organization,a foreign nation,a foreign nation,prepositional_dative,send,inanimate,dative
E,88,That's the informant where the spy from the foreign nation traded a secret package before he could be caught.,Where was the spy from?,a secret organization,a foreign nation,a foreign nation,where,give,animate,dative
F,88,That's the park bench where the spy from the foreign nation traded a secret package before he could be caught.,Where was the spy from?,a secret organization,a foreign nation,a foreign nation,where,give,inanimate,dative
G,88,That's the informant where the spy from the foreign nation tossed a secret package before he could be caught.,Where was the spy from?,a secret organization,a foreign nation,a foreign nation,where,send,animate,dative
H,88,That's the park bench where the spy from the foreign nation tossed a secret package before he could be caught.,Where was the spy from?,a secret organization,a foreign nation,a foreign nation,where,send,inanimate,dative
I,88,That's the informant that the spy from the foreign nation traded a secret package before he could be caught.,Where was the spy from?,a secret organization,a foreign nation,a foreign nation,double_object,give,animate,dative
J,88,That's the park bench that the spy from the foreign nation traded a secret package before he could be caught.,Where was the spy from?,a secret organization,a foreign nation,a foreign nation,double_object,give,inanimate,dative
K,88,That's the informant that the spy from the foreign nation tossed a secret package before he could be caught.,Where was the spy from?,a secret organization,a foreign nation,a foreign nation,double_object,send,animate,dative
L,88,That's the park bench that the spy from the foreign nation tossed a secret package before he could be caught.,Where was the spy from?,a secret organization,a foreign nation,a foreign nation,double_object,send,inanimate,dative
M,88,That's the informant that the spy from the foreign nation traded a secret package to before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,prepositional_dative,give,animate,dative
N,88,That's the park bench that the spy from the foreign nation traded a secret package to before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,prepositional_dative,give,inanimate,dative
O,88,That's the informant that the spy from the foreign nation tossed a secret package to before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,prepositional_dative,send,animate,dative
P,88,That's the park bench that the spy from the foreign nation tossed a secret package to before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,prepositional_dative,send,inanimate,dative
Q,88,That's the informant where the spy from the foreign nation traded a secret package before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,where,give,animate,dative
R,88,That's the park bench where the spy from the foreign nation traded a secret package before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,where,give,inanimate,dative
S,88,That's the informant where the spy from the foreign nation tossed a secret package before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,where,send,animate,dative
T,88,That's the park bench where the spy from the foreign nation tossed a secret package before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,where,send,inanimate,dative
U,88,That's the informant that the spy from the foreign nation traded a secret package before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,double_object,give,animate,dative
V,88,That's the park bench that the spy from the foreign nation traded a secret package before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,double_object,give,inanimate,dative
W,88,That's the informant that the spy from the foreign nation tossed a secret package before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,double_object,send,animate,dative
X,88,That's the park bench that the spy from the foreign nation tossed a secret package before he could be caught.,Where was the spy from?,a foreign nation,a secret organization,a foreign nation,double_object,send,inanimate,dative
